"TREE_FIRST_CN","NYEARS","FIRSTYR","LASTYR","SPCD","PLOT","SUBPLOT","STATECD","COUNTYCD","PLOTS","STATES","COUNTIES","UNITS","SPCDS","TREE_UNIQUE_IDS","nlocs"
200575050010854,3,2005,2018,315,20,4,37,39,2,1,2,1,1,2,8
176844100020004,2,2012,2017,653,37,3,13,37,2,1,2,1,1,2,8
230722146010854,2,2009,2016,131,93,4,1,25,2,1,2,1,1,2,8
230722115010854,2,2009,2016,611,93,1,1,25,2,1,2,1,1,2,8
209339734010854,3,2008,2022,611,48,2,1,9,2,1,2,1,1,2,8
200400562010854,4,2002,2018,372,20,3,37,39,2,1,2,1,1,2,8
230722113010854,2,2009,2016,611,93,1,1,25,2,1,2,1,2,2,8
200386871010854,4,2002,2016,611,32,1,37,15,2,1,2,1,1,2,8
200357132010854,4,2002,2019,316,8,2,37,43,2,1,2,1,1,2,8
200400549010854,4,2002,2018,833,20,1,37,39,2,1,2,1,2,2,8
42206498010497,2,2002,2012,17,60223,4,41,49,1,1,2,2,1,2,8
200386886010854,4,2002,2016,611,32,2,37,15,2,1,2,1,1,2,8
202424920010854,3,2001,2014,531,18,1,21,121,2,1,2,1,1,2,8
205112857010854,3,2004,2016,694,45,2,12,31,2,1,2,1,1,2,8
200393095010854,3,2002,2011,316,85,4,37,101,2,1,2,1,1,2,8
228226560010854,2,2009,2014,831,24,2,5,39,2,1,2,1,1,2,8
200543283010854,3,2004,2016,371,23,4,37,27,2,1,2,1,1,2,8
200393060010854,3,2002,2011,694,85,1,37,101,2,1,2,1,1,2,8
238504542010854,3,2007,2017,544,37,3,13,37,2,1,2,1,2,2,8
205070480010854,3,2003,2015,221,28,4,12,67,2,1,2,1,1,2,8
200481236010854,4,2003,2022,611,38,3,37,69,2,1,2,1,1,2,8
205112867010854,3,2004,2016,544,45,3,12,31,2,1,2,1,1,2,8
200393051010854,3,2002,2011,316,85,1,37,101,2,1,2,1,1,2,8
209339744010854,3,2008,2022,621,48,2,1,9,2,1,2,1,1,2,8
563049642126144,2,2018,2022,131,38,4,37,69,2,1,2,1,1,2,8
250167246010854,2,2009,2014,132,102,4,51,83,2,1,2,1,1,2,8
205070453010854,3,2003,2015,316,28,2,12,67,2,1,2,1,1,2,8
200446521010854,4,2002,2016,97,23,2,37,27,2,1,2,1,1,2,8
250167244010854,3,2009,2019,131,102,4,51,83,2,1,2,1,1,2,8
209339735010854,3,2008,2022,611,48,2,1,9,2,1,2,1,1,2,8
230722104010854,2,2009,2016,611,93,1,1,25,2,1,2,1,1,2,8
200357128010854,4,2002,2019,837,8,2,37,43,2,1,2,1,1,2,8
250228259010854,2,2009,2016,371,23,4,37,27,2,1,2,1,1,2,8
220216482010854,4,2002,2019,316,102,3,51,83,2,1,2,1,1,2,8
228226568010854,3,2009,2019,722,24,3,5,39,2,1,2,1,1,2,8
230722110010854,2,2009,2016,316,93,1,1,25,2,1,2,1,1,2,8
202424919010854,3,2001,2014,832,18,1,21,121,2,1,2,1,1,2,8
200446490010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
200446520010854,4,2002,2016,16,23,2,37,27,2,1,2,1,1,2,8
205070475010854,3,2003,2015,544,28,4,12,67,2,1,2,1,1,2,8
202399680010854,3,2000,2014,372,43,1,21,51,2,1,2,2,1,2,9
210936032010854,5,2000,2019,131,30,3,45,17,2,1,2,1,1,2,8
200565453010854,3,2005,2019,581,8,4,37,43,2,1,2,1,1,2,8
200446556010854,4,2002,2016,97,23,4,37,27,2,1,2,1,1,2,8
200393084010854,4,2002,2020,694,85,4,37,101,2,1,2,1,1,2,8
238250101010854,3,2009,2019,621,33,1,13,45,2,1,2,1,1,2,8
200446540010854,4,2002,2016,97,23,3,37,27,2,1,2,1,1,2,8
200446481010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
200386881010854,4,2002,2016,611,32,1,37,15,2,1,2,1,1,2,8
238504502010854,3,2007,2017,691,37,1,13,37,2,1,2,1,1,2,8
200357135010854,4,2002,2019,261,8,3,37,43,2,1,2,1,1,2,8
202424922010854,3,2001,2014,711,18,1,21,121,2,1,2,1,1,2,8
230722145010854,2,2009,2016,131,93,4,1,25,2,1,2,1,1,2,8
200481238010854,4,2003,2022,611,38,3,37,69,2,1,2,1,1,2,8
200400559010854,4,2002,2018,372,20,2,37,39,2,1,2,1,1,2,8
42206495010497,2,2002,2012,17,60223,4,41,49,1,1,2,2,1,2,8
250167226010854,3,2009,2019,316,102,2,51,83,2,1,2,1,1,2,8
250343575010854,2,2009,2014,531,18,1,21,121,2,1,2,1,1,2,8
216700408010854,4,2000,2019,691,24,1,5,39,2,1,2,1,1,2,8
42206492010497,2,2002,2012,17,60223,4,41,49,1,1,2,2,1,2,8
42206487010497,2,2002,2012,93,60223,2,41,49,1,1,2,2,1,2,8
238250088010854,3,2009,2019,403,33,1,13,45,2,1,2,1,2,2,8
259568160489998,3,2013,2022,131,38,4,37,69,2,1,2,1,1,2,8
238808403010854,5,2000,2020,694,35,4,13,259,2,1,2,1,1,2,8
202474954010854,3,2003,2014,931,6,4,21,89,2,1,2,1,1,2,8
200446516010854,4,2002,2016,16,23,2,37,27,2,1,2,1,2,2,8
202479987010854,3,2003,2013,832,23,3,21,13,2,1,2,1,1,2,8
250352929010854,2,2009,2014,901,6,4,21,89,2,1,2,1,1,2,8
238250178010854,3,2009,2019,806,33,4,13,45,2,1,2,1,1,2,8
200357147010854,4,2002,2019,621,8,4,37,43,2,1,2,1,1,2,8
205070421010854,3,2003,2015,694,28,1,12,67,2,1,2,1,1,2,8
250167243010854,3,2009,2019,131,102,4,51,83,2,1,2,1,1,2,8
205112873010854,3,2004,2016,544,45,4,12,31,2,1,2,1,1,2,8
205070436010854,3,2003,2015,694,28,2,12,67,2,1,2,1,1,2,8
238504510010854,3,2007,2017,544,37,1,13,37,2,1,2,1,2,2,8
250352928010854,2,2009,2014,901,6,4,21,89,2,1,2,1,1,2,8
238504544010854,3,2007,2017,691,37,3,13,37,2,1,2,1,1,2,8
235093790010854,3,2009,2019,693,30,2,45,17,2,1,2,1,2,2,8
238504551010854,3,2007,2017,691,37,4,13,37,2,1,2,1,1,2,8
250167250010854,2,2009,2014,132,102,4,51,83,2,1,2,1,1,2,8
202479991010854,3,2003,2013,833,23,4,21,13,2,1,2,1,2,2,8
247290012010854,3,2009,2019,121,2,1,12,1,2,1,2,1,1,2,8
238250093010854,3,2009,2019,812,33,1,13,45,2,1,2,1,1,2,8
200393093010854,3,2002,2011,820,85,4,37,101,2,1,2,1,1,2,8
200565452010854,3,2005,2019,316,8,4,37,43,2,1,2,1,1,2,8
42213177010497,2,2002,2012,17,84075,1,41,1,1,1,2,1,1,2,7
250167245010854,3,2009,2019,762,102,4,51,83,2,1,2,1,1,2,8
230722150010854,2,2009,2016,131,93,4,1,25,2,1,2,1,1,2,8
357479591489998,2,2015,2022,611,48,2,1,9,2,1,2,1,1,2,8
228226574010854,3,2009,2019,691,24,4,5,39,2,1,2,1,1,2,8
205112842010854,3,2004,2016,221,45,2,12,31,2,1,2,1,1,2,8
238250119010854,2,2009,2014,131,33,2,13,45,2,1,2,1,1,2,8
202424936010854,3,2001,2014,318,18,4,21,121,2,1,2,1,1,2,8
205070467010854,3,2003,2015,820,28,3,12,67,2,1,2,1,1,2,8
200446500010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
250352905010854,2,2009,2014,731,6,1,21,89,2,1,2,1,1,2,8
205112841010854,3,2004,2016,544,45,1,12,31,2,1,2,1,1,2,8
228226557010854,2,2009,2014,401,24,1,5,39,2,1,2,1,1,2,8
230722151010854,2,2009,2016,131,93,4,1,25,2,1,2,1,1,2,8
238250149010854,2,2009,2014,611,33,2,13,45,2,1,2,1,1,2,8
238504539010854,3,2007,2017,316,37,3,13,37,2,1,2,1,1,2,8
202399676010854,3,2000,2014,356,43,1,21,51,2,1,2,2,1,2,9
200400565010854,4,2002,2018,580,20,3,37,39,2,1,2,1,2,2,8
259568138489998,3,2013,2022,611,38,3,37,69,2,1,2,1,1,2,8
200400571010854,4,2002,2018,372,20,4,37,39,2,1,2,1,1,2,8
200386888010854,4,2002,2016,611,32,2,37,15,2,1,2,1,1,2,8
200372327010854,5,2002,2022,611,38,2,37,69,2,1,2,1,1,2,8
238661041010854,3,2004,2014,111,45,3,13,87,2,1,1,1,2,2,7
200400536010854,4,2002,2018,655,20,1,37,39,2,1,2,1,1,2,8
200543278010854,3,2004,2016,16,23,4,37,27,2,1,2,1,1,2,8
200357124010854,4,2002,2019,901,8,1,37,43,2,1,2,1,1,2,8
230722109010854,2,2009,2016,316,93,1,1,25,2,1,2,1,1,2,8
202399681010854,3,2000,2014,372,43,1,21,51,2,1,2,2,1,2,9
200446479010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
42206496010497,2,2002,2012,17,60223,4,41,49,1,1,2,2,1,2,8
200357152010854,4,2002,2019,802,8,4,37,43,2,1,2,1,1,2,8
200565422010854,3,2005,2019,901,8,1,37,43,2,1,2,1,1,2,8
200386893010854,4,2002,2016,611,32,2,37,15,2,1,2,1,1,2,8
200446534010854,4,2002,2016,16,23,3,37,27,2,1,2,1,1,2,8
228226567010854,3,2009,2019,972,24,3,5,39,2,1,2,1,1,2,8
200357134010854,4,2002,2019,316,8,3,37,43,2,1,2,1,1,2,8
202399711010854,3,2000,2014,531,43,4,21,51,2,1,2,2,1,2,9
259568109489998,3,2013,2022,802,38,1,37,69,2,1,2,1,1,2,8
200357126010854,4,2002,2019,901,8,2,37,43,2,1,2,1,1,2,8
216700413010854,4,2000,2019,691,24,1,5,39,2,1,2,1,2,2,8
205112865010854,3,2004,2016,544,45,3,12,31,2,1,2,1,1,2,8
205422124010854,5,2000,2022,391,48,4,1,9,2,1,2,1,1,2,8
200400569010854,4,2002,2018,761,20,4,37,39,2,1,2,1,2,2,8
259568166489998,3,2013,2022,833,38,4,37,69,2,1,2,1,1,2,8
259568124489998,3,2013,2022,833,38,2,37,69,2,1,2,1,1,2,8
202399684010854,3,2000,2014,711,43,2,21,51,2,1,2,2,1,2,9
42213180010497,2,2002,2012,17,84075,2,41,1,1,1,2,1,1,2,7
259568152489998,3,2013,2022,131,38,4,37,69,2,1,2,1,1,2,8
563049645126144,2,2018,2022,131,38,4,37,69,2,1,2,1,1,2,8
200618461010854,2,2006,2011,316,85,3,37,101,2,1,2,1,1,2,8
200393050010854,3,2002,2011,694,85,1,37,101,2,1,2,1,1,2,8
259568150489998,3,2013,2022,131,38,4,37,69,2,1,2,1,1,2,8
205070424010854,3,2003,2015,544,28,1,12,67,2,1,2,1,1,2,8
238661028010854,3,2004,2014,111,45,1,13,87,2,1,1,1,1,2,7
200446484010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
259568164489998,3,2013,2022,833,38,4,37,69,2,1,2,1,1,2,8
200400545010854,4,2002,2018,762,20,1,37,39,2,1,2,1,1,2,8
238504555010854,3,2007,2017,804,37,4,13,37,2,1,2,1,2,2,8
200393053010854,3,2002,2011,316,85,1,37,101,2,1,2,1,1,2,8
230722138010854,2,2009,2016,611,93,3,1,25,2,1,2,1,1,2,8
202399697010854,3,2000,2014,316,43,3,21,51,2,1,2,2,1,2,9
209339746010854,3,2008,2022,611,48,2,1,9,2,1,2,1,1,2,8
205070445010854,3,2003,2015,316,28,2,12,67,2,1,2,1,1,2,8
200386887010854,4,2002,2016,521,32,2,37,15,2,1,2,1,1,2,8
205112869010854,3,2004,2016,544,45,3,12,31,2,1,2,1,1,2,8
250167254010854,3,2009,2019,132,102,4,51,83,2,1,2,1,1,2,8
252349737010854,3,2010,2020,611,35,3,13,259,2,1,2,1,1,2,8
202474943010854,3,2003,2014,621,6,1,21,89,2,1,2,1,1,2,8
200393070010854,4,2002,2020,544,85,2,37,101,2,1,2,1,1,2,8
200446473010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
200393092010854,3,2002,2011,694,85,4,37,101,2,1,2,1,1,2,8
238661032010854,4,2004,2019,111,45,2,13,87,2,1,1,1,2,2,7
202424925010854,3,2001,2014,541,18,2,21,121,2,1,2,1,1,2,8
238250103010854,3,2009,2019,621,33,1,13,45,2,1,2,1,1,2,8
252247504010854,2,2010,2019,711,8,4,37,43,2,1,2,1,1,2,8
200446515010854,4,2002,2016,97,23,2,37,27,2,1,2,1,1,2,8
238250137010854,2,2009,2014,131,33,2,13,45,2,1,2,1,1,2,8
200543279010854,3,2004,2016,16,23,4,37,27,2,1,2,1,1,2,8
259568158489998,3,2013,2022,131,38,4,37,69,2,1,2,1,1,2,8
200446493010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
230722122010854,2,2009,2016,693,93,2,1,25,2,1,2,1,2,2,8
202399700010854,3,2000,2014,837,43,3,21,51,2,1,2,2,1,2,9
250167227010854,3,2009,2019,611,102,2,51,83,2,1,2,1,1,2,8
200393058010854,3,2002,2011,820,85,1,37,101,2,1,2,1,1,2,8
250167240010854,3,2009,2019,531,102,3,51,83,2,1,2,1,1,2,8
200357130010854,4,2002,2019,832,8,2,37,43,2,1,2,1,1,2,8
230722147010854,2,2009,2016,131,93,4,1,25,2,1,2,1,1,2,8
42213176010497,2,2002,2012,17,84075,1,41,1,1,1,2,1,1,2,7
250228261010854,2,2009,2016,16,23,4,37,27,2,1,2,1,1,2,8
230722148010854,2,2009,2016,131,93,4,1,25,2,1,2,1,1,2,8
228226569010854,3,2009,2019,831,24,4,5,39,2,1,2,1,1,2,8
230722114010854,2,2009,2016,611,93,1,1,25,2,1,2,1,2,2,8
200446566010854,4,2002,2016,935,23,4,37,27,2,1,2,1,1,2,8
202479990010854,3,2003,2013,403,23,4,21,13,2,1,2,1,2,2,8
205112836010854,3,2004,2016,221,45,1,12,31,2,1,2,1,1,2,8
235093782010854,3,2009,2019,693,30,2,45,17,2,1,2,1,1,2,8
238504526010854,3,2007,2017,691,37,2,13,37,2,1,2,1,1,2,8
200386877010854,4,2002,2016,131,32,1,37,15,2,1,2,1,1,2,8
200393078010854,3,2002,2011,316,85,3,37,101,2,1,2,1,1,2,8
238661040010854,2,2004,2009,111,45,3,13,87,2,1,1,1,2,2,7
259568165489998,3,2013,2022,409,38,4,37,69,2,1,2,1,1,2,8
42206493010497,2,2002,2012,17,60223,4,41,49,1,1,2,2,1,2,8
238504529010854,3,2007,2017,691,37,2,13,37,2,1,2,1,1,2,8
200446528010854,4,2002,2016,97,23,3,37,27,2,1,2,1,1,2,8
238504511010854,3,2007,2017,611,37,1,13,37,2,1,2,1,1,2,8
200446476010854,4,2002,2016,935,23,1,37,27,2,1,2,1,1,2,8
250228213010854,2,2009,2016,16,23,2,37,27,2,1,2,1,1,2,8
238250147010854,2,2009,2014,131,33,2,13,45,2,1,2,1,1,2,8
230722118010854,2,2009,2016,131,93,2,1,25,2,1,2,1,1,2,8
238504518010854,3,2007,2017,316,37,2,13,37,2,1,2,1,1,2,8
238504537010854,3,2007,2017,822,37,3,13,37,2,1,2,1,1,2,8
238250095010854,3,2009,2019,835,33,1,13,45,2,1,2,1,1,2,8
205070479010854,3,2003,2015,544,28,4,12,67,2,1,2,1,1,2,8
205070464010854,3,2003,2015,316,28,3,12,67,2,1,2,1,1,2,8
250167247010854,3,2009,2019,762,102,4,51,83,2,1,2,1,1,2,8
205112872010854,3,2004,2016,544,45,4,12,31,2,1,2,1,1,2,8
238250107010854,3,2009,2019,621,33,1,13,45,2,1,2,1,1,2,8
200357127010854,4,2002,2019,651,8,2,37,43,2,1,2,1,1,2,8
202399682010854,3,2000,2014,837,43,1,21,51,2,1,2,2,1,2,9
216700411010854,3,2000,2014,831,24,1,5,39,2,1,2,1,1,2,8
238250097010854,3,2009,2019,621,33,1,13,45,2,1,2,1,1,2,8
238250165010854,2,2009,2014,409,33,3,13,45,2,1,2,1,1,2,8
202424928010854,3,2001,2014,405,18,3,21,121,2,1,2,1,2,2,8
205070459010854,3,2003,2015,820,28,3,12,67,2,1,2,1,1,2,8
200400552010854,4,2002,2018,901,20,1,37,39,2,1,2,1,1,2,8
200400556010854,4,2002,2018,372,20,2,37,39,2,1,2,1,1,2,8
238808381010854,5,2000,2020,316,35,1,13,259,2,1,2,1,1,2,8
205112880010854,3,2004,2016,544,45,4,12,31,2,1,2,1,1,2,8
230722106010854,2,2009,2016,491,93,1,1,25,2,1,2,1,1,2,8
209339748010854,3,2008,2022,621,48,2,1,9,2,1,2,1,1,2,8
42213179010497,2,2002,2012,17,84075,1,41,1,1,1,2,1,1,2,7
200446499010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
200446496010854,4,2002,2016,97,23,1,37,27,2,1,2,1,1,2,8
238250159010854,3,2009,2019,131,33,3,13,45,2,1,2,1,1,2,8
216700417010854,4,2000,2019,221,24,3,5,39,2,1,2,1,2,2,8
200543194010854,3,2004,2016,97,23,1,37,27,2,1,2,1,1,2,8
200386869010854,4,2002,2016,611,32,1,37,15,2,1,2,1,1,2,8
205112868010854,3,2004,2016,316,45,3,12,31,2,1,2,1,1,2,8
259568113489998,3,2013,2022,802,38,1,37,69,2,1,2,1,1,2,8
252261454010854,2,2010,2016,131,32,4,37,15,2,1,2,1,1,2,8
200393065010854,3,2002,2011,316,85,2,37,101,2,1,2,1,1,2,8
205070461010854,3,2003,2015,972,28,3,12,67,2,1,2,1,1,2,8
253698392010854,2,2010,2015,820,28,2,12,67,2,1,2,1,1,2,8
200400572010854,4,2002,2018,372,20,4,37,39,2,1,2,1,1,2,8
205070451010854,3,2003,2015,544,28,2,12,67,2,1,2,1,1,2,8
200543201010854,3,2004,2016,371,23,1,37,27,2,1,2,1,2,2,8
200400541010854,4,2002,2018,372,20,1,37,39,2,1,2,1,1,2,8
200543200010854,3,2004,2016,16,23,1,37,27,2,1,2,1,1,2,8
205070444010854,3,2003,2015,222,28,2,12,67,2,1,2,1,1,2,8
209339740010854,3,2008,2022,611,48,2,1,9,2,1,2,1,1,2,8
42213188010497,2,2002,2012,122,84075,4,41,1,1,1,2,1,1,2,7
238661036010854,2,2004,2009,111,45,3,13,87,2,1,1,1,2,2,7
238661027010854,3,2004,2014,111,45,1,13,87,2,1,1,1,1,2,7
250352904010854,2,2009,2014,621,6,1,21,89,2,1,2,1,1,2,8
200386891010854,4,2002,2016,611,32,2,37,15,2,1,2,1,1,2,8
252349739010854,3,2010,2020,827,35,3,13,259,2,1,2,1,1,2,8
202479975010854,3,2003,2013,832,23,1,21,13,2,1,2,1,1,2,8
259568153489998,3,2013,2022,131,38,4,37,69,2,1,2,1,1,2,8
200357139010854,4,2002,2019,372,8,3,37,43,2,1,2,1,1,2,8
238504540010854,3,2007,2017,653,37,3,13,37,2,1,2,1,1,2,8
209339736010854,3,2008,2022,611,48,2,1,9,2,1,2,1,1,2,8
259568125489998,3,2013,2022,833,38,2,37,69,2,1,2,1,1,2,8
202424932010854,3,2001,2014,318,18,3,21,121,2,1,2,1,1,2,8
205112879010854,3,2004,2016,544,45,4,12,31,2,1,2,1,1,2,8
250352930010854,2,2009,2014,621,6,4,21,89,2,1,2,1,1,2,8
259568122489998,3,2013,2022,316,38,2,37,69,2,1,2,1,1,2,8
200393094010854,3,2002,2011,316,85,4,37,101,2,1,2,1,1,2,8
253698351010854,2,2010,2015,544,28,1,12,67,2,1,2,1,1,2,8
200446548010854,4,2002,2016,16,23,4,37,27,2,1,2,1,1,2,8
200446504010854,4,2002,2016,97,23,2,37,27,2,1,2,1,1,2,8
202399701010854,3,2000,2014,806,43,3,21,51,2,1,2,2,1,2,9
200400546010854,4,2002,2018,833,20,1,37,39,2,1,2,1,2,2,8
238808406010854,5,2000,2020,621,35,4,13,259,2,1,2,1,1,2,8
238250161010854,3,2009,2019,835,33,3,13,45,2,1,2,1,1,2,8
205112833010854,3,2004,2016,221,45,1,12,31,2,1,2,1,1,2,8
200446530010854,4,2002,2016,16,23,3,37,27,2,1,2,1,1,2,8
200446511010854,4,2002,2016,97,23,2,37,27,2,1,2,1,1,2,8
200400540010854,4,2002,2018,832,20,1,37,39,2,1,2,1,1,2,8
238634543010854,4,2005,2020,653,35,4,13,259,2,1,2,1,1,2,8
202424927010854,3,2001,2014,405,18,3,21,121,2,1,2,1,1,2,8
200357138010854,4,2002,2019,580,8,3,37,43,2,1,2,1,2,2,8
200446529010854,4,2002,2016,97,23,3,37,27,2,1,2,1,1,2,8
238504515010854,3,2007,2017,544,37,2,13,37,2,1,2,1,2,2,8
200393063010854,4,2002,2020,820,85,2,37,101,2,1,2,1,2,2,8
259568154489998,3,2013,2022,131,38,4,37,69,2,1,2,1,1,2,8
235093788010854,3,2009,2019,693,30,2,45,17,2,1,2,1,2,2,8
200446514010854,4,2002,2016,97,23,2,37,27,2,1,2,1,1,2,8
253698348010854,2,2010,2015,316,28,1,12,67,2,1,2,1,1,2,8
259568159489998,3,2013,2022,131,38,4,37,69,2,1,2,1,1,2,8
238504535010854,3,2007,2017,820,37,3,13,37,2,1,2,1,1,2,8
250352925010854,2,2009,2014,901,6,4,21,89,2,1,2,1,1,2,8
